close;high;low;open;time;volume
1.11477;1.11478;1.11451;1.11457;1724257200000;1101.45
1.11479;1.11481;1.11462;1.11477;1724257800000;903.07
1.11459;1.1148;1.11456;1.1148;1724258400000;692.27
1.11462;1.1147;1.11443;1.1146;1724259000000;1152.82
1.11502;1.11502;1.11455;1.11464;1724259600000;695.69
1.11491;1.11519;1.11484;1.11502;1724260200000;427.83
1.11506;1.1151;1.11469;1.11492;1724260800000;921.06
1.1151;1.11527;1.11501;1.11507;1724261400000;828.32
1.11568;1.11577;1.11508;1.11509;1724262000000;631.26
1.11554;1.11583;1.11554;1.11569;1724262600000;852.1
1.11662;1.11684;1.11549;1.11553;1724263200000;1424.91
1.11732;1.11739;1.11653;1.11661;1724263800000;858.64
1.11733;1.1174;1.11691;1.11732;1724264400000;1005.32
1.11629;1.11733;1.11626;1.11732;1724265000000;1589.79
1.11632;1.11636;1.11596;1.1163;1724265600000;958.8
1.11617;1.11632;1.11597;1.11631;1724266200000;1264.41
1.11553;1.11617;1.11549;1.11616;1724266800000;1225.08
1.11542;1.1157;1.11542;1.11553;1724267400000;686.47
1.11532;1.11542;1.1152;1.11542;1724268000000;912.5
1.11517;1.11532;1.11514;1.1153;1724268600000;782.5
1.11522;1.11535;1.11514;1.11517;1724269200000;402.03
1.11516;1.11551;1.11516;1.11522;1724269800000;686.25
1.11486;1.11523;1.11485;1.11517;1724270400000;371.22
1.11474;1.11483;1.11471;1.11482;1724271000000;154.74
1.11476;1.11486;1.11473;1.11475;1724271600000;151.74
1.1151;1.11513;1.11472;1.11474;1724272200000;150.15
1.11509;1.11511;1.11503;1.11508;1724272800000;323.63
1.11493;1.11523;1.11491;1.11509;1724273400000;1153.59
1.11507;1.11512;1.1147;1.11491;1724274000000;197.16
1.11519;1.11519;1.1149;1.11506;1724274600000;514.56
1.11519;1.11523;1.1149;1.1152;1724275200000;348.32
1.11492;1.11519;1.11491;1.11519;1724275800000;433.43
1.11485;1.11492;1.11468;1.11492;1724276400000;427.14
1.11482;1.11485;1.11472;1.11485;1724277000000;153.96
1.11529;1.11533;1.11481;1.11482;1724277600000;571.11
1.11535;1.11538;1.11527;1.11529;1724278200000;291.23
1.11535;1.11536;1.11525;1.11535;1724278800000;417.66
1.11525;1.11536;1.11524;1.11536;1724279400000;156.06
1.11534;1.11534;1.1152;1.11525;1724280000000;69.21
1.11562;1.11562;1.11536;1.11536;1724280600000;47.13
1.11565;1.11573;1.11557;1.11562;1724281200000;447.98
1.11576;1.11577;1.11559;1.11565;1724281800000;178.11
1.11561;1.1158;1.11559;1.11577;1724282400000;182.84
1.11546;1.11571;1.11546;1.11561;1724283000000;195.55
1.11535;1.11548;1.11529;1.11546;1724283600000;260.08
1.11548;1.11551;1.1153;1.11534;1724284200000;251.36
1.11535;1.11567;1.11529;1.11549;1724284800000;560.47
1.11533;1.11536;1.11514;1.11535;1724285400000;659.93
1.11518;1.11545;1.11517;1.11533;1724286000000;610.77
1.115;1.11519;1.11494;1.11519;1724286600000;400.54
1.11496;1.11509;1.1149;1.11501;1724287200000;1065.86
1.11474;1.11507;1.11453;1.11496;1724287800000;1603.69
1.11454;1.1149;1.1145;1.11475;1724288400000;1258.77
1.11449;1.11467;1.11447;1.11455;1724289000000;805.8
1.11465;1.11468;1.11449;1.1145;1724289600000;230.71
1.11439;1.11468;1.11438;1.11466;1724290200000;531.72
1.11435;1.11446;1.11429;1.1144;1724290800000;521.76
1.11432;1.1144;1.11424;1.11435;1724291400000;744.6
1.11414;1.11436;1.11414;1.11432;1724292000000;922.74
1.11406;1.11419;1.11404;1.11416;1724292600000;455.91
